Job started at Sat Jun 20 10:33:51 CST 2026
Host: dribe-00
SLURM_JOB_ID=578276
SLURM_CPUS_PER_TASK=36
Rust: rustc 1.96.0 (ac68faa20 2026-05-25)
Cargo: cargo 1.96.0 (30a34c682 2026-05-25)
Thread matrix: 1,2,4,8,16,32,36
sequential,no-conflict,5000,2,42,401307.88,correct=Some(true)
static,no-conflict,5000,2,42,283776.95,correct=Some(true)
optimistic,no-conflict,5000,2,42,416221.31,correct=Some(true)
sequential,hotspot,5000,2,42,489918.84,correct=Some(true)
static,hotspot,5000,2,42,26054.45,correct=Some(true)
optimistic,hotspot,5000,2,42,337945.27,correct=Some(true)
sequential,zipfian,5000,2,42,495989.38,correct=Some(true)
static,zipfian,5000,2,42,71428.84,correct=Some(true)
optimistic,zipfian,5000,2,42,314548.46,correct=Some(true)
sequential,token-transfer,5000,2,42,431868.85,correct=Some(true)
static,token-transfer,5000,2,42,237261.65,correct=Some(true)
optimistic,token-transfer,5000,2,42,368735.70,correct=Some(true)
sequential,private-state,5000,2,42,438935.97,correct=Some(true)
static,private-state,5000,2,42,15989.66,correct=Some(true)
optimistic,private-state,5000,2,42,308204.46,correct=Some(true)
sequential,no-conflict,5000,2,43,403762.32,correct=Some(true)
static,no-conflict,5000,2,43,312535.26,correct=Some(true)
optimistic,no-conflict,5000,2,43,434076.84,correct=Some(true)
sequential,hotspot,5000,2,43,494000.32,correct=Some(true)
static,hotspot,5000,2,43,28461.32,correct=Some(true)
optimistic,hotspot,5000,2,43,340300.44,correct=Some(true)
sequential,zipfian,5000,2,43,496927.89,correct=Some(true)
static,zipfian,5000,2,43,70440.21,correct=Some(true)
optimistic,zipfian,5000,2,43,340618.48,correct=Some(true)
sequential,token-transfer,5000,2,43,414241.28,correct=Some(true)
static,token-transfer,5000,2,43,233245.93,correct=Some(true)
optimistic,token-transfer,5000,2,43,368762.62,correct=Some(true)
sequential,private-state,5000,2,43,435952.71,correct=Some(true)
static,private-state,5000,2,43,17092.43,correct=Some(true)
optimistic,private-state,5000,2,43,297081.44,correct=Some(true)
sequential,no-conflict,5000,2,44,375216.56,correct=Some(true)
static,no-conflict,5000,2,44,314868.20,correct=Some(true)
optimistic,no-conflict,5000,2,44,430439.33,correct=Some(true)
sequential,hotspot,5000,2,44,488425.25,correct=Some(true)
static,hotspot,5000,2,44,28089.06,correct=Some(true)
optimistic,hotspot,5000,2,44,337041.80,correct=Some(true)
sequential,zipfian,5000,2,44,498250.20,correct=Some(true)
static,zipfian,5000,2,44,69641.06,correct=Some(true)
optimistic,zipfian,5000,2,44,347091.20,correct=Some(true)
sequential,token-transfer,5000,2,44,426970.50,correct=Some(true)
static,token-transfer,5000,2,44,234444.82,correct=Some(true)
optimistic,token-transfer,5000,2,44,367030.74,correct=Some(true)
sequential,private-state,5000,2,44,424627.69,correct=Some(true)
static,private-state,5000,2,44,15846.52,correct=Some(true)
optimistic,private-state,5000,2,44,309340.65,correct=Some(true)
sequential,no-conflict,5000,4,42,402284.91,correct=Some(true)
static,no-conflict,5000,4,42,352674.45,correct=Some(true)
optimistic,no-conflict,5000,4,42,483748.38,correct=Some(true)
sequential,hotspot,5000,4,42,484097.96,correct=Some(true)
static,hotspot,5000,4,42,21235.23,correct=Some(true)
optimistic,hotspot,5000,4,42,383051.30,correct=Some(true)
sequential,zipfian,5000,4,42,499744.38,correct=Some(true)
static,zipfian,5000,4,42,68775.71,correct=Some(true)
optimistic,zipfian,5000,4,42,395136.88,correct=Some(true)
sequential,token-transfer,5000,4,42,431523.89,correct=Some(true)
static,token-transfer,5000,4,42,254740.49,correct=Some(true)
optimistic,token-transfer,5000,4,42,420454.72,correct=Some(true)
sequential,private-state,5000,4,42,423286.84,correct=Some(true)
static,private-state,5000,4,42,17010.50,correct=Some(true)
optimistic,private-state,5000,4,42,345169.14,correct=Some(true)
sequential,no-conflict,5000,4,43,404235.12,correct=Some(true)
static,no-conflict,5000,4,43,361577.06,correct=Some(true)
optimistic,no-conflict,5000,4,43,511138.11,correct=Some(true)
sequential,hotspot,5000,4,43,491109.30,correct=Some(true)
static,hotspot,5000,4,43,28226.83,correct=Some(true)
optimistic,hotspot,5000,4,43,380390.79,correct=Some(true)
