run_id,seed,executor,workload,block_size,num_accounts,threads,compute_cost,skew,elapsed_ns,throughput_tps,scheduling_ns,execution_ns,validation_ns,commit_ns,conflicts_detected,reexecutions,accepted_txs,rejected_txs,final_state_hash,correct_vs_sequential
0-zipfian-optimistic-4-1000,42,optimistic,zipfian,1000,10000,4,1000,1.1,3459950,289021.5176519892,0,2976103,139052,289863,0,872,1000,0,c3e8ee121049859902fb9efc902b1f1f9ff3b1519dc3f50144655d369eb38267,true
0-token-transfer-sequential-4-1000,42,sequential,token-transfer,1000,10000,4,1000,1.1,3275984,305251.79610156827,0,1582686,0,378574,0,0,1000,0,bbcfa924be04469e9cb0ccceeecc20cf11147b9785cdd1365f998ec6c6cd6019,true
0-token-transfer-static-4-1000,42,static,token-transfer,1000,10000,4,1000,1.1,4881882,204839.03543756282,1072644,1860620,0,528646,51,0,1000,0,bbcfa924be04469e9cb0ccceeecc20cf11147b9785cdd1365f998ec6c6cd6019,true
0-token-transfer-optimistic-4-1000,42,optimistic,token-transfer,1000,10000,4,1000,1.1,3195983,312892.77821565385,0,1877689,137027,496581,0,183,1000,0,bbcfa924be04469e9cb0ccceeecc20cf11147b9785cdd1365f998ec6c6cd6019,true
0-private-state-sequential-4-1000,42,sequential,private-state,1000,10000,4,1000,1.1,3158846,316571.30483727285,0,1536937,0,307670,0,0,842,158,4dc1b9cf6d171d2b24ea25fbe3eb7d827dcae0a4a146ba3e92d2491efbfd484b,true
0-private-state-static-4-1000,42,static,private-state,1000,10000,4,1000,1.1,39818475,25113.970336633938,757410,2201450,0,607933,3000,0,842,158,4dc1b9cf6d171d2b24ea25fbe3eb7d827dcae0a4a146ba3e92d2491efbfd484b,true
0-private-state-optimistic-4-1000,42,optimistic,private-state,1000,10000,4,1000,1.1,4399957,227274.94836881358,0,3118307,173779,401731,0,999,842,158,4dc1b9cf6d171d2b24ea25fbe3eb7d827dcae0a4a146ba3e92d2491efbfd484b,true
1-no-conflict-sequential-4-1000,43,sequential,no-conflict,1000,10000,4,1000,1.1,3325263,300728.09278544283,0,1584328,0,371706,0,0,1000,0,72a85deaa7400a330ddc98c75d93d1bff21a27b64d8f4c22442b601d9d11cfe0,true
1-no-conflict-static-4-1000,43,static,no-conflict,1000,10000,4,1000,1.1,3879298,257778.59808656102,1049278,1564086,0,523407,0,0,1000,0,72a85deaa7400a330ddc98c75d93d1bff21a27b64d8f4c22442b601d9d11cfe0,true
1-no-conflict-optimistic-4-1000,43,optimistic,no-conflict,1000,10000,4,1000,1.1,2880291,347187.14185476396,0,1562806,125353,465794,0,0,1000,0,72a85deaa7400a330ddc98c75d93d1bff21a27b64d8f4c22442b601d9d11cfe0,true
1-hotspot-sequential-4-1000,43,sequential,hotspot,1000,10000,4,1000,1.1,2713537,368522.7067108354,0,1490209,0,263503,0,0,1000,0,45185c07d7992449281ee63a781a085974cb4781eea6a0b426fe84985d7fa22b,true
1-hotspot-static-4-1000,43,static,hotspot,1000,10000,4,1000,1.1,35272656,28350.572749610918,640709,2369794,0,587350,5994,0,1000,0,45185c07d7992449281ee63a781a085974cb4781eea6a0b426fe84985d7fa22b,true
1-hotspot-optimistic-4-1000,43,optimistic,hotspot,1000,10000,4,1000,1.1,3910277,255736.35831937226,0,3094025,132976,313826,0,999,1000,0,45185c07d7992449281ee63a781a085974cb4781eea6a0b426fe84985d7fa22b,true
